source_site,job_title,institution,department_or_school,country,city_or_region,rank_type,area_specialization,contract_type,teaching_expectations,research_expectations,posted_date,deadline_or_review_date,salary_currency,salary_range,job_url,combined_urls,confidence,reason,decision
jobs.ac.uk,Senior Lecturer in Forensic Psychology,University of Salford,"Faculty of Health, Community and Life Sciences",United Kingdom,Salford,Lecturer,,,,,2026-08-25,,GBP,"£59,967 to £67,469",https://www.jobs.ac.uk/job/DSS498/senior-lecturer-in-forensic-psychology,https://www.jobs.ac.uk/job/DSS498/senior-lecturer-in-forensic-psychology,0.35,Forensic psychology is allied to criminology but distinct discipline; excluding pure forensic science,
"ACJS, ASC",OAG/OLEPS #26-237: Research Data Manager,New Jersey Attorney General,,United States,"Trenton, New Jersey",,,,,,2026-08-27,,,,https://careers.acjs.org/job/oagoleps-26-237-research-data-manager/85722148/,"https://careers.acjs.org/job/oagoleps-26-237-research-data-manager/85722148/, https://njlps.prod.simpligov.com/prod/portal/ShowWorkFlow/AnonymousEmbed/2de6a4cc-c71b-462a-9b97-45a01871b408?element22=26-237&element24=RESEARCH%20DATA%20MANAGER%20&element424=Office%20of%20Law%20Enforcement%20Professional%20Standards&element918=Yes&element411=09%2F26%2F2026",0.70,Justice-agency research role — practitioner/research borderline,
jobs.ac.uk,Assistant Professor - Law and Society/Sociology of Law,University of Toronto Mississauga,Department of Sociology,Canada,Mississauga,Assistant Professor,,,,,2026-08-19,,CAD,"£84,006.81 to £108,356.61",https://www.jobs.ac.uk/job/DSQ872/assistant-professor-law-and-society-sociology-of-law,https://www.jobs.ac.uk/job/DSQ872/assistant-professor-law-and-society-sociology-of-law,0.55,Law and Society/Sociology of Law; plausibly criminology-adjacent but generic descriptor without explicit criminal justice focus,
jobs.ac.uk,Postdoctoral Prize Research Fellowships in Sociology (two posts),Nuffield College,,United Kingdom,Oxford,Postdoc,,,,,2026-08-18,,GBP,"£41,700",https://www.jobs.ac.uk/job/DSQ524/postdoctoral-prize-research-fellowships-in-sociology-two-posts,https://www.jobs.ac.uk/job/DSQ524/postdoctoral-prize-research-fellowships-in-sociology-two-posts,0.45,Sociology postdoc without clear crime specialization in title,
jobs.ac.uk,Lecturer in Sociology,Lancaster University,School of Social Sciences,United Kingdom,"Bailrigg, Lancaster",Lecturer,,,,,2026-08-24,,GBP,"£41,064 to £46,049",https://www.jobs.ac.uk/job/DSS221/lecturer-in-sociology,https://www.jobs.ac.uk/job/DSS221/lecturer-in-sociology,0.40,Faculty role without clear criminology component,
jobs.ac.uk,Postdoctoral Research Associate - AI,"City St George’s, University of London",Education Studies (inc. TEFL),United Kingdom,London,Postdoc,,,,,2026-08-19,,GBP,Not Specified,https://www.jobs.ac.uk/job/DSQ967/postdoctoral-research-associate-ai,https://www.jobs.ac.uk/job/DSQ967/postdoctoral-research-associate-ai,0.40,Faculty role without clear criminology component,
jobs.ac.uk,Postdoctoral Research Fellow in Computational Social Science and Text Analysis,University of Oxford,Department of Politics and International Relations,United Kingdom,Oxford,Postdoc,,,,,2026-08-27,,GBP,"£39,424 to £51,983",https://www.jobs.ac.uk/job/DST162/postdoctoral-research-fellow-in-computational-social-science-and-text-analysis,https://www.jobs.ac.uk/job/DST162/postdoctoral-research-fellow-in-computational-social-science-and-text-analysis,0.40,Computational social science without clear crime focus,
jobs.ac.uk,Postdoctoral Research Associate - COSPI,"City St George’s, University of London",Education Studies (inc. TEFL),United Kingdom,London,Postdoc,,,,,2026-08-12,,GBP,"£43,482 to £44,500",https://www.jobs.ac.uk/job/DSO991/postdoctoral-research-associate-cospi,https://www.jobs.ac.uk/job/DSO991/postdoctoral-research-associate-cospi,0.40,Faculty role without clear criminology component,
jobs.ac.uk,Lecturer in Law (Holborn),Arden University,"School of Criminology, Criminal Justice & Law",United Kingdom,"Holborn, London, Hybrid",Lecturer,,,,,2026-08-26,,GBP,"£42,663 to £49,399",https://www.jobs.ac.uk/job/DSS858/lecturer-in-law-holborn,https://www.jobs.ac.uk/job/DSS858/lecturer-in-law-holborn,0.70,"Law position in School of Criminology, Criminal Justice & Law; plausibly in scope but title is generic law",
jobs.ac.uk,Lecturer in Law T&S (Maternity Cover) (20% FTE),Bangor University,The North Wales School of Law,United Kingdom,Bangor,Lecturer,,,,,2026-09-01,,GBP,"£38,784 to £46,049",https://www.jobs.ac.uk/job/DSU077/lecturer-in-law-tands-maternity-cover-20-fte,https://www.jobs.ac.uk/job/DSU077/lecturer-in-law-tands-maternity-cover-20-fte,0.35,Generic law teaching post without clear criminology component,
